streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
2387,20260602,6:29 AM,26.02,2.45,,,
2386,20260601,11:02 PM,42,3.72,,,
2385,20260531,4:54 PM,39,3.42,,,
2384,20260530,7:00 AM,217.72,26.32,,,
2383,20260529,6:45 PM,32.08,3.98,,,
2382,20260528,8:08 PM,47.03,6.02,,,
2381,20260527,11:47 PM,37.08,3.73,,,
2380,20260526,11:06 PM,33,3.26,,,
2379,20260525,11:09 PM,38,3.74,,,
2378,20260524,7:17 AM,24.12,2.42,,,
2377,20260523,7:26 AM,24.02,2.8,,,
2376,20260522,9:39 PM,23,2.23,,,
2375,20260521,11:46 PM,31.02,3.39,,,
2374,20260520,10:42 PM,16.02,1.95,,,
2373,20260519,10:13 AM,19,2.5,,,
2372,20260518,11:45 PM,16.23,1.8,,,
2371,20260517,9:06 AM,32.05,3.71,,,
2370,20260516,8:57 AM,31.08,4.01,,,
2369,20260515,11:28 PM,33.03,3.72,,,
2368,20260514,6:33 AM,33.02,3.76,,,
2367,20260513,11:17 PM,34,3.62,,,
2366,20260512,11:21 PM,24.03,2.86,,,
2365,20260511,11:57 PM,16.02,1.56,,,
2364,20260510,8:36 AM,6.32,0.72,,,
2364,20260510,8:59 AM,18.78,3.14,,,
2363,20260509,8:56 AM,50.03,4.62,,,
2362,20260508,11:29 PM,32.07,3.68,,,
2361,20260507,11:53 PM,15.77,1.53,,,
2360,20260506,11:30 PM,28.22,3.3,,,
2359,20260505,4:12 PM,55.12,6.14,,,
2358,20260504,7:39 PM,37.02,4.36,,,
2357,20260503,9:27 AM,24.23,2.31,,,
2356,20260502,7:30 PM,21,2.47,,,
2355,20260501,6:38 AM,29.08,3.34,,,
2354,20260430,7:30 AM,34.02,3.33,,,
2353,20260429,2:55 PM,24.02,2.6,,,
2352,20260428,10:26 PM,16.88,1.54,,,
2351,20260427,8:33 PM,17.07,1.33,,,
2350,20260426,11:25 PM,35.02,3.69,,,
2349,20260425,6:21 PM,21.97,2.28,,,
2348,20260424,11:31 PM,20.95,2.04,,,
2347,20260423,11:41 PM,19.03,1.56,,,
2346,20260422,11:27 PM,25.03,1.8,,,
2345,20260421,8:52 AM,19.02,1.35,,,
2344,20260420,10:16 AM,182.23,26.38,,,
2343,20260419,9:17 AM,1.12,0.09,,,
2343,20260419,3:29 PM,12.87,1.35,,,
2342,20260418,9:26 AM,20.1,2.25,,,
2341,20260417,3:57 PM,38,4.07,,,
2340,20260416,11:08 PM,52.08,6.85,,,
2339,20260415,10:28 PM,32.13,3.83,,,
2338,20260414,12:44 PM,31.78,3.49,,,
2337,20260413,4:49 PM,62.25,8.01,,,
2336,20260412,7:58 AM,22.05,2.59,,,
2335,20260411,2:42 PM,99.02,11.42,,,
2334,20260410,8:15 PM,19.75,2.03,,,
2333,20260409,11:29 PM,38.58,3.7,,,
2332,20260408,8:56 AM,39.22,5,,,
2331,20260407,11:56 PM,25.02,2.07,,,
2330,20260406,6:20 PM,20.08,1.72,,,
2329,20260405,9:12 AM,169.03,22.16,,,
2328,20260404,6:18 PM,32.02,3.59,,,
2327,20260403,11:45 PM,38,3.75,,,
2326,20260402,6:33 PM,48.02,6.16,,,
2325,20260401,11:17 PM,40.02,5.05,,,
2324,20260331,11:26 PM,52.07,5.09,,,
2323,20260330,8:04 PM,76.08,9.75,,,
2322,20260329,9:29 AM,44.02,4.05,,,
2321,20260328,5:35 AM,175.02,22.55,,,
2320,20260327,3:57 PM,38,4.46,,,
2319,20260326,10:41 PM,69,9.32,,,
2318,20260325,11:39 PM,48,5.18,,,
2317,20260324,11:35 PM,43.05,4.42,,,
2316,20260323,6:21 PM,89,11.4,,,
2315,20260322,11:33 PM,39,3.74,,,
2314,20260321,5:55 AM,164.02,20.05,,,
2313,20260320,5:39 PM,52.05,6.16,,,
2312,20260319,2:58 PM,98.02,13.15,,,
2311,20260318,11:34 PM,54,6.15,,,
2310,20260317,10:22 PM,34.88,4.6,,,
2310,20260317,11:01 PM,48,5.72,,,
2309,20260316,11:52 PM,33,3.71,,,
2308,20260315,2:10 PM,31.03,3.55,,,
2307,20260314,10:35 AM,109.13,13.15,,,
2306,20260313,4:40 PM,108,14.58,,,
2305,20260312,11:33 PM,29.02,3.24,,,
2304,20260311,12:04 PM,58.08,6.7,,,
2303,20260310,11:51 PM,26,3.29,,,
2302,20260309,10:55 PM,15.78,1.77,,,
2301,20260308,3:06 PM,53.02,6.04,,,
2300,20260307,2:31 PM,88.02,12.1,,,
2300,20260307,6:04 PM,4.87,0,,,
2299,20260306,1:52 PM,50.1,6.25,,,
2298,20260305,11:42 PM,70.02,9.03,,,
2297,20260304,12:10 PM,56.03,6.48,,,
2296,20260303,5:27 PM,69.12,9.22,,,
2295,20260302,11:40 PM,18.9,2.04,,,
2294,20260301,9:24 AM,89,11.07,,,
2293,20260228,11:40 PM,20.35,2.43,,,
2292,20260227,4:09 PM,101.03,14.07,,,
2291,20260226,10:41 PM,62.02,6.6,,,
2290,20260225,4:04 PM,60.13,7.31,,,
2289,20260224,12:35 PM,75.02,9.86,,,
2288,20260223,11:39 PM,16.08,1.7,,,
2287,20260222,10:47 PM,23,2.17,,,
2286,20260221,7:33 AM,125.88,13.15,,,
2285,20260220,11:15 PM,34.13,3.64,,,
2284,20260219,3:08 PM,19.1,2.22,,,
2283,20260218,6:37 PM,15.97,1.57,,,
2282,20260217,6:26 PM,7.37,0.7,,,
2281,20260216,1:44 PM,15.93,1.66,,,
2280,20260215,11:34 PM,27.03,2.57,,,
2279,20260214,2:53 PM,109.03,14.4,,,
2278,20260213,8:42 AM,78.08,10.66,,,
2277,20260212,11:32 PM,31.02,3.67,,,
2276,20260211,11:29 PM,40.02,4.2,,,
2275,20260210,1:20 PM,80.02,10.28,,,
2274,20260209,11:49 PM,16,1.73,,,
2273,20260208,10:17 AM,114.08,12.46,,,
2272,20260207,11:46 PM,12.93,1.28,,,
2271,20260206,3:36 PM,152,20.11,,,
2270,20260205,11:31 PM,36.02,3.74,,,
2269,20260204,12:00 PM,53.05,6.59,,,
2268,20260203,11:53 AM,64.05,8.87,,,
2267,20260202,11:13 PM,38.12,3.73,,,
2266,20260201,1:35 PM,55.98,6.81,,,
2265,20260131,6:06 AM,107.02,12.7,,,
2264,20260130,6:11 AM,40.23,4.18,,,
2263,20260129,3:11 PM,111,13.3,,,
2262,20260128,11:04 PM,60,6.8,,,
2261,20260127,9:26 PM,61.07,6.97,,,
2260,20260126,11:33 AM,14.12,1.44,,,
2260,20260126,9:52 PM,78.1,8.21,,,
2259,20260125,4:43 PM,114.82,13.15,,,
2258,20260124,8:40 AM,43.03,5.18,,,
2258,20260124,2:33 PM,133.02,16.27,,,
2257,20260123,10:36 AM,112.02,13.5,,,
2256,20260122,2:20 PM,115.02,13.28,,,
2255,20260121,6:09 AM,36.03,3.69,,,
2255,20260121,12:11 PM,97,11.07,,,
2254,20260120,9:55 PM,75.02,8.05,,,
2253,20260119,4:13 PM,54.03,6.12,,,
2252,20260118,10:59 AM,117,13.25,,,
2252,20260118,4:23 PM,108,11.68,,,
2251,20260117,8:59 AM,14.9,1.44,,,
2251,20260117,9:32 AM,111,13.23,,,
