streak#,date,startTime,runningTime(min),Distance(mile),weather,temperature(C),Shoes
366,20161231,09:10 am,22,3.2,Cloudy,1,BK30
365,20161230,01:05 pm,20,2.8,Fair,6,BK30
364,20161229,06:28 am,24,3.2,Cloudy,4,BK30
363,20161228,06:45 am,23,3.2,Fair,3,BK30
362,20161227,06:45 am,23,3.2,Cloudy,5,BK30
361,20161226,10:30 pm,23,3.2,Rain,4,BK30
360,20161225,09:56 am,23,3.2,Cloudy,2,BK30
359,20161224,08:03 am,42.5,6,Cloudy,2,BK30
358,20161223,10:53 pm,23.5,3.2,Cloudy,2,BK30
357,20161222,06:50 am,23,3.2,Cloudy,2,BK30
356,20161221,06:38 am,24,3.2,Cloudy,3,BK30
355,20161220,06:05 am,24,3.2,Windy,9,BK30
354,20161219,06:52 am,24,3.2,Rain,2,BK30
353,20161218,07:50 am,23,3.2,Fair,-1,BK30
352,20161217,03:15 pm,22.5,3.2,Clear,-2,BK30
351,20161216,06:40 am,23.5,3.2,Clear,-2,BK30
350,20161215,06:42 am,15,2.2,Fair,-2,BK30
349,20161214,06:53 am,24,3.2,Fair,-2,BK30
348,20161213,06:30 am,24,3.2,Cloudy,2,BK30
347,20161212,07:37 am,24,3.2,Cloudy,4,BK30
346,20161211,02:35 pm,22,3.2,Cloudy,6,BK30
345,20161210,11:10 am,25,3.2,Rain,5,BK30
344,20161209,08:10 am,25,3.2,Snow,0,BK30
343,20161208,07:33 am,24,3.2,Sunny,-3,BK30
342,20161207,09:06 pm,27,3.2,Clear,-2,BK30
341,20161206,10:41 pm,24,3.2,Cloudy,-1,BK30
340,20161205,07:36 am,24,3.2,Rain,2,BK30
339,20161204,10:52 pm,20,2.8,Cloudy,3,BK30
338,20161203,04:37 pm,24,3.2,Rain,8,BK30
337,20161202,10:29 pm,20,2.5,Rain,8,BK30
336,20161201,09:40 pm,23,3.2,Rain,7,BK30
335,20161130,07:56 am,20,2.8,Sunny,4,BK30
334,20161129,06:40 am,23,3.2,Sunny,6,BK30
333,20161128,07:30 am,23,3.2,Cloudy,6,BK30
332,20161127,12:30 pm,20,2.8,Rain,7,BK30
331,20161126,09:40 pm,20,2.8,Rain,6,BK30
330,20161125,08:10 am,23,3.2,Cloudy,6,BK30
329,20161124,04:30 pm,23,3.2,Rain,8,BK30
328,20161123,07:37 am,23,3.2,Cloudy,6,BK30
327,20161122,07:30 am,23.5,3.2,Cloudy,8,BK30
326,20161121,07:20 am,23,3.2,Cloudy,9,BK30
325,20161120,02:35 pm,23,3.2,Cloudy,11,BK30
324,20161119,04:15 pm,22,3.2,Cloudy,11,BK30
323,20161118,07:35 am,22,3.2,Cloudy,6,BK30
322,20161117,07:35 am,23,3.2,Cloudy,7,BK30
321,20161116,07:40 am,20,2.8,Cloudy,7,BK30
320,20161115,07:35 am,24,3.2,Rain,8,BK30
319,20161114,06:40 am,20,2.8,Cloudy,9,BK30
318,20161113,03:10 pm,23,3.2,Cloudy,10,BK30
317,20161112,12:45 pm,23,3.2,Cloudy,13,BK30
316,20161111,11:22 pm,14,2,Cloudy,13,BK30
315,20161110,11:50 pm,10,1.4,Cloudy,12,BK30
314,20161109,09:43 pm,24,3.2,Clear,12,BK30
313,20161108,06:20 am,23,3.2,Clear,11,BK30
312,20161107,07:15 am,24,3.2,Cloudy,12,BK30
311,20161106,08:50 pm,30,4.2,Cloudy,12,BK30
310,20161105,08:15 am,20,2.8,Rain,10,BK30
309,20161104,11:40 am,10,1.4,Cloudy,13,BK30
308,20161103,06:00 pm,20,2.8,Sunny,11,BK30
307,20161102,07:34 am,20,2.8,Rain,11,BK30
306,20161101,07:52 am,20,2.8,Rain,9,BK30
305,20161031,07:30 am,20,2.8,Rain,9,BK30
304,20161030,11:03 pm,20,2.8,Rain,10,BK30
303,20161029,10:15 pm,20,2.8,Cloudy,9,BK30
302,20161028,07:00 am,24,3.2,Cloudy,9,BK30
301,20161027,06:05 am,25,3.2,Cloudy,11,BK30
300,20161026,07:37 am,20,2.8,Rain,11,BK30
299,20161025,05:41 am,30,4.2,Cloudy,11,BK30
298,20161024,06:10 am,30,4.2,Cloudy,11,BK30
297,20161023,08:18 am,30,4.2,Rain,11,BK30
296,20161022,10:37 am,30,4.2,Cloudy,10,BK30
295,20161021,06:50 am,30,4.1,Cloudy,10,BK30
294,20161020,07:04 am,16,2.5,Rain,11,BK30
293,20161019,11:40 pm,14,1.9,Rain,10,BK30
292,20161018,10:15 pm,30,4.1,Cloudy,12,BK30
291,20161017,09:45 pm,30,4.3,Clear,12,BK30
290,20161016,10:40 pm,16,2.3,Rain,10,BK30
289,20161015,08:10 pm,24,3.2,Cloudy,12,BK30
288,20161014,05:47 am,24,3.2,Rain,12,BK30
287,20161013,07:14 am,25,3.2,Rain,11,BK30
286,20161012,06:02 am,24,3.2,Clear,4,BK30
285,20161011,07:26 am,24,3.2,Clear,5,BK30
284,20161010,06:48 am,25,3.2,Clear,8,BK30
283,20161009,10:50 am,24,3.2,Cloudy,13,BK30
282,20161008,10:10 am,24,3.2,Rain,14,BK30
281,20161007,08:00 pm,25,3.2,Cloudy,13,BK30
280,20161006,06:52 pm,24,3.2,Rain,13,BK30
279,20161005,07:11 pm,24,3.2,Clear,16,BK30
278,20161004,09:37 pm,23,3.2,Cloudy,13,BK30
277,20161003,07:03 pm,23,3.2,Cloudy,12,BK30
276,20161002,12:50 pm,23,3.2,Sunny,16,BK30
275,20161001,09:02 pm,20,3,Cloudy,8,BK30
274,20160930,07:00 pm,23,3.2,Clear,15,BK30
273,20160929,07:37 pm,23,3.2,Clear,12,BK30
272,20160928,07:23 pm,23,3.2,Clear,12,BK30
271,20160927,10:33 pm,20,2.8,Clear,12,BK30
270,20160926,09:33 pm,24,3.2,Clear,12,BK30
269,20160925,08:16 am,14,2.9,Sunny,19,BK30
268,20160924,09:30 am,20,2.8,Sunny,23,BK30
267,20160923,07:24 pm,20,2.8,Clear,20,BK30
266,20160922,10:49 pm,17,2.3,Clear,13,BK30
265,20160921,08:00 pm,25,3.3,Fair,19,BK30
264,20160920,08:37 pm,16,2,Cloudy,13,BK30
263,20160919,06:55 pm,23,3.2,Sunny,16,BK30
262,20160918,07:26 am,20,2.8,Cloudy,19,BK30
261,20160917,03:25 pm,14,2,Cloudy,23,BK30
260,20160916,10:32 pm,14,2,Rain,21,BK30
259,20160915,10:25 pm,20,2.8,Clear,25,BK30
258,20160914,05:20 pm,21,3,Cloudy,26,BK30
257,20160913,06:10 am,20,2.8,Cloudy,22,BK30
256,20160912,10:10 pm,20,2.8,Fair,23,BK30
255,20160911,09:40 am,16,1.2,Cloudy,18,BK30
254,20160910,06:42 am,20,2.8,Cloudy,23,BK30
253,20160909,06:14 am,20,2.8,Sunny,23,BK30
252,20160908,10:34 pm,16,2,Cloudy,23,BK30
251,20160907,07:20 am,20,2.8,Rain,14,BK30
250,20160906,07:35 am,14,2,Rain,13,BK30
249,20160905,11:24 pm,14,2,Cloudy,14,BK30
248,20160904,08:06 pm,20,2.8,Clear,18,BK30
247,20160903,07:45 am,20,3.2,Rain,14,BK30
246,20160902,07:11 am,20,3.2,Cloudy,14,BK30
245,20160901,10:42 pm,18,2.7,Rain,14,BK30
244,20160831,06:54 am,16,2.3,Cloudy,16,BK30
243,20160830,06:50 am,14,2,Cloudy,16,BK30
242,20160829,06:10 am,10,1.4,Clear,12,BK30
241,20160828,09:50 pm,10,1.3,Cloudy,15,BK30
240,20160827,11:20 pm,10,1.2,Clear,16,BK30
239,20160826,10:45 pm,14,1.8,Clear,22,BK30
238,20160825,07:00 am,10,1.3,Sunny,16,BK30
237,20160824,06:33 am,10,1.3,Sunny,14,BK30
236,20160823,07:05 am,14,2,Sunny,13,BK30
235,20160822,07:10 am,14,1.8,Cloudy,14,BK30
234,20160821,11:07 pm,14,1.8,Clear,16,BK30
233,20160820,10:35 pm,14,1.8,Clear,22,BK30
232,20160819,06:40 am,20,2.6,Clear,15,BK30
231,20160818,06:57 am,20,2.6,Clear,15,BK30
230,20160817,07:08 am,14,1.8,Clear,14,BK30
229,20160816,07:03 am,20,2.8,Clear,15,BK30
228,20160815,06:38 am,20,2.8,Clear,15,BK30
227,20160814,22:45 pm,14,1.7,Clear,19,BK30
226,20160813,22:53 pm,20,2.6,Clear,21,BK30
225,20160812,08:30 pm,21,2.8,Clear,20,BK30
224,20160811,07:53 pm,20,2.8,Clear,24,BK30
223,20160810,11:40 pm,14,2,Cloudy,17,BK30
222,20160809,10:46 pm,25,3.4,Cloudy,17,BK30
221,20160808,10:38 pm,20,2.6,Cloudy,16,BK30
220,20160807,10:00 pm,24,3.5,Cloudy,14,BK30
219,20160806,09:09 am,24,3.5,Cloudy,14,BK30
218,20160805,11:00 pm,25,3.5,Clear,14,BK30
217,20160804,07:22 am,20,2.6,Clear,27,BK30
216,20160803,10:53 pm,20,2.8,Clear,30,BK30
215,20160802,10:35 pm,30,4,Clear,31,BK30
214,20160801,11:36 pm,14,2,Clear,32,BK30
213,20160731,10:50 pm,20,2.5,Clear,32,BK30
212,20160730,11:43 pm,14,2,Clear,20,BK30
211,20160729,11:26 pm,23,3.4,Clear,21,BK30
210,20160728,11:35 pm,15,1.9,Clear,20,BK30
209,20160727,10:45 pm,26,3.4,Clear,19,BK30
208,20160726,08:50 pm,22,3,Clear,19,BK30
207,20160725,10:50 pm,20,2.4,Cloudy,19,BK30
206,20160724,10:25 pm,16,1.6,Cloudy,15,BK30
205,20160723,11:45 pm,14,2,Cloudy,19,BK30
204,20160722,11:30 pm,17,2.4,Cloudy,17,BK30
203,20160721,10:03 pm,14,2,Clear,20,BK30
202,20160720,11:18 pm,12,1.5,Clear,17,BK30
201,20160719,07:40 pm,20,2.8,Clear,18,BK30
200,20160718,10:02 pm,23,3.4,Cloudy,18,RLH
199,20160717,09:00 am,22,3.4,Clear,19,RLH
198,20160716,10:12 pm,24,3.4,Clear,17,RLH
197,20160715,06:50 am,20,2.4,Clear,13,RLH
196,20160714,10:18 pm,16,2,Clear,15,RLH
195,20160713,10:40 pm,16,2,Clear,16,RLH
194,20160712,10:18 pm,20,2.8,Clear,16,RLH
193,20160711,11:24 pm,14,2,Clear,16,RLH
192,20160710,10:00 pm,20,2.8,Cloudy,17,RLH
191,20160709,11:14 pm,16,2.4,Cloudy,16,RLH
190,20160708,10:40 pm,26,3.4,Rain,18,RLH
189,20160707,11:02 pm,16,2.4,Cloudy,15,RLH
188,20160706,09:30 pm,24,3.4,Clear,17,RLH
187,20160705,10:00 pm,24,3.2,Cloudy,14,RLH
186,20160704,04:28 pm,24,3.4,Cloudy,14,RLH
185,20160703,11:30 pm,20,2.8,Clear,14,RLH
184,20160702,08:20 pm,20,2.8,Clear,18,RLH
183,20160701,07:49 pm,20,2.8,Clear,18,RLH
182,20160630,08:39 pm,24,3.4,Clear,18,RLH
181,20160629,11:40 pm,14,2,Clear,16,RLH
180,20160628,08:23 pm,16,2.4,Sunny,21,RLH
179,20160627,07:10 am,25,3.4,Sunny,19,RLH
178,20160626,07:50 am,20,2.4,Sunny,16,RLH
177,20160625,07:02 am,29,3.5,Clear,13,RLH
176,20160624,07:40 am,20,2.6,Cloudy,13,RLH
175,20160623,06:40 am,17,2.4,Rain,15,RLH
174,20160622,11:25 pm,14,2,Cloudy,16,RLH
173,20160621,06:42 am,24,3.4,Cloudy,13,RLH
172,20160620,11:22 pm,14,2,Rain,17,RLH
171,20160619,09:03 pm,24,3.4,Clear,16,RLH
170,20160618,11:34 pm,16,2.1,Clear,13,RLH
169,20160617,11:10 pm,20,2.6,Rain,13,RLH
168,20160616,11:31 pm,14,1.9,Clear,13,RLH
167,20160615,05:56 am,24,3.4,Sunny,8,RLH
166,20160614,06:52 am,24,3.4,Cloudy,10,RLH
165,20160613,06:43 am,26,3.4,Cloudy,13,RLH
164,20160612,07:06 am,20,2.4,Sunny,20,RLH
163,20160611,10:26 am,20,2,Sunny,32,RLH
162,20160610,08:05 am,20,2.4,Sunny,13,RLH
161,20160609,11:45 pm,16,2,Rain,13,RLH
160,20160608,11:45 pm,10,1.2,Cloudy,13,RLH
159,20160607,11:45 pm,16,2,Clear,17,RLH
158,20160606,11:18 pm,16,2,Cloudy,17,RLH
157,20160605,09:04 am,16,2,Sunny,24,RLH
156,20160604,10:03 pm,25,3.4,Cloudy,21,RLH
155,20160603,10:55 pm,20,2.4,Cloudy,18,RLH
154,20160602,10:45 pm,28,3.4,Cloudy,15,RLH
153,20160601,06:25 pm,23,3.2,Cloudy,18,RLH
152,20160531,10:05 pm,25,3.4,Cloudy,18,RLH
151,20160530,08:35 am,23,3.4,Sunny,13,RLH
150,20160529,11:35 pm,20,2.6,Clear,10,RLH
149,20160528,07:20 pm,26,3.4,Cloudy,13,RLH
148,20160527,11:23 pm,15,1.8,Cloudy,11,RLH
147,20160526,10:13 pm,20,2.6,Cloudy,14,RLH
146,20160525,07:45 am,20,2.4,Cloudy,13,RLH
145,20160524,07:08 am,20,2.5,Cloudy,13,RLH
144,20160523,09:33 pm,20,3,Cloudy,14,RLH
143,20160522,08:13 pm,20,3,Cloudy,15,RLH
142,20160521,08:44 pm,20,3,Rain,13,RLH
141,20160520,06:46 am,22,3,Rain,14,RLH
140,20160519,07:17 am,23,3,Cloudy,9,RLH
139,20160518,06:35 am,25,3.2,Sunny,13,RLH
138,20160517,05:43 am,25,3.2,Sunny,12,RLH
137,20160516,06:45 am,20,2.5,Rain,13,RLH
136,20160515,11:35 pm,15,1.8,Rain,12,RLH
135,20160514,11:00 pm,14,1.8,Rain,13,RLH
134,20160513,10:39 pm,20,2.5,Clear,19,RLH
133,20160512,08:14 pm,20,2.5,Sunny,18,RLH
132,20160511,11:02 pm,20,2.5,Clear,14,RLH
