streak#,date,startTime,runningTime(min),Distance(mile),Shoes,temperature(C),weather
0383,20191109,12:35 pm,34,3.0,Barefeet,11,Rainy
0382,20191108,09:32 pm,28,3.3,Barefeet,10,Cloudy
0381,20191107,07:31 am,38,4.3,Barefeet,8,Sunny
0380,20191106,08:55 pm,20,2.4,Barefeet,7,Clear
0379,20191105,10:49 pm,16,2.0,Barefeet,6,Cloudy
0378,20191104,09:08 pm,27,3.3,Barefeet,7,Clear
0377,20191103,01:14 pm,29,3.3,Barefeet,12,Sunny
0376,20191102,11:57 am,20,2.9,Barefeet,12,Sunny
0375,20191101,09:38 pm,20,2.4,Barefeet,7,Cloudy
0374,20191031,09:50 pm,20,2.3,Barefeet,8,Clear
0373,20191030,07:37 am,20,2.7,Barefeet,10,Sunny
0372,20191029,09:09 pm,18,2.1,Barefeet,10,Clear
0371,20191028,09:30 pm,30,3.4,Barefeet,8,Clear
0370,20191027,11:45 pm,20,2.7,Barefeet,8,Clear
0369,20191026,11:13 pm,16,2.0,Barefeet,6,Clear
0368,20191025,10:05 pm,20,2.5,Barefeet,10,Rainy
0367,20191024,10:20 pm,16,1.9,Barefeet,13,Cloudy
0366,20191023,11:09 pm,15,2.0,Barefeet,9,Cloudy
0365,20191022,10:45 pm,20,2.4,Barefeet,8,Clear
0364,20191021,11:25 pm,15,1.8,Barefeet,16,Rainy
0363,20191020,10:16 pm,12,1.4,Barefeet,12,Cloudy
0362,20191019,11:11 pm,20,2.4,Barefeet,08,Clear
0361,20191018,08:23 pm,30,3.3,Barefeet,11,Cloudy
0360,20191017,11:44 pm,20,2.5,Barefeet,11,Clear
0359,20191016,08:18 pm,29,3.3,Barefeet,13,Cloudy
0358,20191015,10:45 pm,20,2.5,Barefeet,14,Cloudy
0357,20191014,09:50 pm,20,2.5,Barefeet,13,Clear
0356,20191013,06:48 pm,13,1.5,Barefeet,13,Cloudy
0355,20191012,08:21 pm,13,2.1,Barefeet,13,Cloudy
0354,20191011,11:21 pm,15,2.1,Barefeet,7,Clear
0353,20191010,10:19 pm,12,1.5,Barefeet,9,Clear
0352,20191009,10:00 pm,22,2.9,Barefeet,3,Clear
0351,20191008,10:12 pm,22,3.0,Barefeet,6,Clear
0350,20191007,10:37 pm,12,1.6,Barefeet,13,Rainy
0349,20191006,03:07 pm,27,3.3,Barefeet,14,Sunny
0348,20191005,10:45 pm,15,1.9,Xero01,10,Cloudy
0347,20191004,09:26 pm,15,1.8,Barefeet,14,Clear
0346,20191003,08:37 pm,29,3.3,Barefeet,13,Cloudy
0345,20191002,09:05 pm,26,3.2,Barefeet,15,Cloudy
0344,20191001,09:06 pm,20,2.5,Barefeet,14,Cloudy
0343,20190930,09:18 pm,20,2.4,Barefeet,8,Cloudy
0342,20190929,09:15 pm,20,2.4,Barefeet,9,Clear
0341,20190928,09:26 am,30,3.0,Barefeet,9,Cloudy
0340,20190927,09:23 pm,19,2.1,Barefeet,10,Cloudy
0339,20190926,09:49 pm,20,2.4,Barefeet,15,Cloudy
0338,20190925,11:25 pm,16,1.9,Barefeet,15,Clear
0337,20190924,09:06 pm,29,3.3,Barefeet,16,Cloudy
0336,20190923,08:53 pm,29,3.3,Barefeet,14,Windy
0335,20190922,08:37 pm,29,3.3,Barefeet,18,Rainy
0334,20190921,09:25 pm,24,2.5,Barefeet,16,Cloudy
0333,20190920,09:06 pm,30,3.2,Barefeet,14,Clear
0332,20190919,09:03 pm,20,2.2,Barefeet,15,Clear
0331,20190918,08:51 pm,23,2.2,Barefeet,17,Cloudy
0330,20190917,08:43 pm,30,3.3,Barefeet,16,Clear
